User Link,Reputation
"283863","32174"
"172588","32156"
"103295","32148"
"879420","32143"
"536","32128"
"1768303","32104"
"12752","32090"
"977038","32082"
"188096","32078"
"42973","32078"
"558021","32057"
"1600898","32057"
"205608","32056"
"2525","32053"
"216513","32052"
"458390","32018"
"763246","32012"
"170224","32003"
"111575","31958"
"337227","31950"
"137467","31949"
"2224265","31916"
"311966","31909"
"559070","31883"
"1478381","31883"
"254643","31856"
"78182","31850"
"515054","31837"
"47961","31823"
"166949","31809"
"479659","31802"
"390581","31799"
"902497","31771"
"1380752","31758"
"20481","31756"
"675502","31753"
"113938","31741"
"697154","31709"
"288773","31696"
"203130","31687"
"964135","31684"
"474189","31679"
"2864740","31677"
"333255","31674"
"23478","31658"
"3647361","31651"
"28128","31642"
"1175077","31611"
"2985007","31600"
"5","31589"
"130929","31587"
"343955","31587"
"559144","31587"
"26051","31549"
"633239","31540"
"2474656","31538"
"561309","31528"
"1279683","31511"
"451969","31507"
"9122","31485"
"355230","31485"
"16007","31474"
"463827","31470"
"2774","31425"
"550966","31415"
"1114486","31386"
"2073595","31376"
"86837","31350"
"285289","31321"
"449906","31320"
"2469","31308"
"567435","31302"
"187141","31298"
"1055987","31292"
"197788","31290"
"54249","31286"
"614807","31274"
"234053","31251"
"1499781","31221"
"29157","31216"
"636656","31202"
"14742","31168"
"3295","31153"
"830680","31152"
"473798","31136"
"13924","31135"
"1343161","31131"
"1207195","31126"
"174614","31123"
"4068","31094"
"1238019","31080"
"240646","31070"
"109702","31067"
"18515","31060"
"105999","31007"
"291550","30960"
"1397051","30944"
"1620671","30941"
"273566","30937"
"1280373","30934"
"3859027","30931"
"223992","30924"
"886931","30919"
"247243","30906"
"233522","30894"
"20074","30892"
"445221","30841"
"950178","30837"
"158779","30819"
"34065","30817"
"52201","30811"
"97572","30810"
"783743","30807"
"2050455","30803"
"18797","30789"
"6920","30762"
"2025923","30746"
"219743","30737"
"46914","30708"
"17343","30683"
"75245","30678"
"304319","30674"
"508601","30666"
"31945","30664"
"143505","30657"
"109360","30640"
"2435473","30626"
"27414","30621"
"643977","30614"
"8701","30609"
"892256","30607"
"346063","30601"
"480943","30591"
"1149773","30562"
"736079","30562"
"376728","30551"
"263681","30548"
"314028","30543"
"67009","30526"
"82322","30524"
"179233","30511"
"15187","30499"
"1329652","30476"
"918414","30475"
"309412","30473"
"409259","30471"
"507810","30469"
"471559","30464"
"361023","30433"
"986","30416"
"1209018","30415"
"836407","30396"
"456","30386"
"25507","30377"
"570191","30369"
"208257","30346"
"25050","30345"
"234039","30333"
"225312","30333"
"1723893","30327"
"75500","30324"
"228109","30313"
"2051952","30304"
"2260","30300"
"300257","30295"
"8707","30294"
"951757","30285"
"717214","30274"
"8047","30273"
"757830","30267"
"288671","30264"
"224346","30253"
"105459","30233"
"471795","30231"
"147601","30231"
"145587","30210"
"718618","30186"
"520612","30186"
"2836621","30183"
"5056","30176"
"2128947","30172"
"261188","30167"
"84631","30148"
"581994","30129"
"43427","30091"
"1445366","30086"
"246616","30079"
"1570534","30063"
"90691","30033"
"603744","30003"
"1124287","30002"
"155423","30000"
"316644","29978"
"637889","29950"
"1957251","29944"
"471093","29905"
"270287","29901"
"41596","29894"
"1596547","29873"
"259778","29838"
"947357","29833"
"182705","29823"
"27727","29821"
"4685","29817"
"185722","29816"
"745188","29813"
"315168","29784"
"90308","29777"
"11465","29772"
"235349","29736"
"1237040","29732"
"11702","29725"
"913184","29711"
"1530814","29703"
"870604","29695"
"1850609","29688"
"1190","29684"
"821679","29666"
"445131","29665"
"34549","29665"
"165216","29659"
"873875","29659"
"6372","29657"
"779513","29654"
"5651","29639"
"872","29597"
"271357","29582"
"6568","29572"
"23771","29567"
"108130","29563"
"1189885","29554"
"15354","29535"
"55562","29517"
"1333975","29514"
"371793","29512"
"1733163","29509"
"458741","29504"
"422133","29498"
"235710","29497"
"218978","29483"
"43846","29462"
"172999","29453"
"11480","29445"
"1034737","29407"
"546084","29404"
"1615483","29394"
"165495","29389"
"1057429","29382"
"165059","29372"
"1412","29368"
"1593860","29346"
"8331","29330"
"1258041","29329"
"857807","29323"
"3085310","29316"
"1106925","29314"
"16929","29303"
"273767","29296"
"167958","29294"
"140185","29278"
"941240","29269"
"82865","29249"
"72631","29232"
"2238","29229"
"257449","29160"
"31615","29149"
"729881","29148"
"74195","29140"
"31610","29133"
"5017","29125"
"136829","29119"
"49018","29098"
"542701","29094"
"282912","29079"
"172261","29075"
"231316","29071"
"731620","29067"
"1553090","29062"
"778560","29061"
"661853","29052"
"13000","29048"
"29639","29031"
"833622","29025"
"18154","29024"
"181776","29017"
"823393","29017"
"239243","29016"
"67566","29012"
"31641","29006"
"109122","28992"
"458259","28971"
"128141","28970"
"64313","28968"
"192839","28963"
"450128","28943"
"135448","28903"
"33258","28898"
"3631","28896"
"8922","28894"
"14419","28882"
"738746","28878"
"36007","28876"
"451980","28873"
"68939","28872"
"303476","28862"
"572939","28861"
"38765","28838"
"151312","28819"
"82788","28807"
"417501","28802"
"52444","28794"
"976775","28790"
"1200545","28782"
"56285","28778"
"60518","28767"
"697630","28766"
"222674","28743"
"312586","28738"
"838807","28733"
"3636601","28731"
"9453","28726"
"552438","28677"
"1090562","28675"
"380231","28675"
"220834","28671"
"246246","28670"
"987","28669"
"12248","28661"
"429063","28650"
"571189","28647"
"761202","28644"
"66686","28636"
"1835379","28634"
"3730911","28630"
"61337","28620"
"2556117","28605"
"1405065","28601"
"213269","28590"
"331052","28582"
"1633117","28582"
"1012097","28580"
"158668","28572"
"87053","28569"
"2368","28568"
"12048","28566"
"1591669","28564"
"108205","28548"
"308903","28547"
"86020","28534"
"759019","28517"
"3545273","28516"
"126352","28508"
"542091","28504"
"361151","28502"
"225074","28492"
"256793","28486"
"37881","28466"
"48465","28462"
"12744","28461"
"109374","28445"
"364001","28429"
"5542","28423"
"119081","28422"
"1223693","28412"
"7498","28399"
"1002260","28386"
"1554","28368"
"2341938","28352"
"2319407","28350"
"21640","28347"
"212555","28326"
"448580","28324"
"378024","28318"
"197368","28318"
"106403","28317"
"101811","28316"
"157701","28315"
"1359668","28314"
"632339","28311"
"6932","28311"
"90678","28310"
"547981","28298"
"85360","28277"
"1726343","28273"
"89766","28270"
"1633251","28256"
"76051","28233"
"3530129","28213"
"371753","28211"
"143938","28210"
"46297","28200"
"18914","28196"
"429","28193"
"574479","28193"
"33252","28190"
"473070","28184"
"5274","28180"
"32090","28165"
"66372","28138"
"459640","28135"
"4301306","28132"
"1802671","28114"
"648658","28110"
"1875256","28086"
"125672","28085"
"1771795","28083"
"72583","28045"
"215380","28043"
"427545","28030"
"377953","28029"
"4007","28014"
"1242","28004"
"2088135","27994"
"1423","27989"
"204699","27985"
"550177","27966"
"79061","27953"
"568283","27943"
"391554","27940"
"11635","27931"
"2410359","27926"
"420303","27924"
"892313","27923"
"231078","27922"
"7872","27920"
"1065241","27909"
"411022","27883"
"2802040","27882"
"237838","27871"
"13422","27869"
"298455","27868"
"370286","27846"
"1559","27837"
"2060725","27822"
"1029225","27805"
"8457","27792"
"1971805","27786"
"329637","27774"
"1983495","27743"
"1828879","27724"
"278836","27704"
"466862","27680"
"387927","27654"
"489261","27622"
"1350899","27618"
"57986","27616"
"112212","27616"
"430909","27616"
"1451635","27612"
"197758","27607"
"385844","27605"
"209103","27583"
"148357","27570"
"396300","27565"
"26095","27563"
"294248","27544"
"2423205","27542"
"479633","27520"
"60281","27520"
"291788","27497"
"188715","27489"
"28053","27479"
"205930","27471"
"343340","27463"
"17815","27463"
"1505120","27450"
"221955","27443"
"1163607","27442"
"79439","27439"
"26394","27434"
"26226","27430"
"1068248","27412"
"1076463","27407"
"44984","27398"
"8562","27392"
"102302","27377"
"833073","27375"
"42769","27343"
"2016562","27337"
"523612","27328"
"2257","27327"
"367401","27321"
"34796","27318"
"46450","27305"
"458193","27284"
"1823841","27254"
"8078","27250"
"15682","27247"
"9236","27245"
"440602","27245"
"157","27243"
"732284","27240"
"22927","27237"
"89556","27233"
"551406","27232"
"250832","27232"
"48503","27221"
"30568","27204"
"43832","27201"
"573032","27179"
"665261","27177"
"233196","27175"
"155693","27165"
"2558882","27164"
"830012","27164"
"22164","27161"
"104458","27141"
"410636","27139"
"264","27135"
"63147","27129"
"770361","27126"
"132382","27126"
"481267","27109"
"1492421","27107"
"33036","27101"
"19479","27097"
"918959","27077"
"38971","27070"
"229410","27067"
"2606013","27065"
"41983","27064"
"210719","27060"
"2287","27058"
"95190","27040"
"1938163","27039"
"54684","27039"
"62699","27038"
"560735","27023"
"912","27020"
"128397","27019"
"2138752","27017"
"624900","27009"
"52551","27008"
"632407","26989"
"1317927","26982"
"1524450","26981"
"643085","26979"
"115","26973"
"283055","26961"
"388787","26945"
"213474","26898"
"1047823","26897"
"557445","26893"
"84704","26879"
"3381","26849"
"15459","26845"
"142794","26841"
"25714","26828"
"9167","26805"
"107366","26803"
"18770","26795"
"900873","26783"
"224988","26774"
"322912","26771"
"189516","26761"
"148004","26756"
"176923","26752"
"1217358","26739"
"1420197","26739"
"12748","26732"
"73772","26729"
"349112","26725"
"50447","26712"
"95573","26707"
"758280","26703"
"403310","26697"
"27020","26691"
"104015","26678"
"7532","26676"
"2071828","26671"
"219162","26656"
"109035","26650"
"265804","26644"
"52087","26641"
"17121","26625"
"25330","26606"
"103842","26601"
"930847","26601"
"399037","26595"
"58961","26594"
"63074","26592"
"1864167","26591"
"11995","26573"
"116639","26553"
"1388319","26538"
"51170","26537"
"4172","26537"
"1026598","26533"
"728812","26532"
"76835","26521"
"106862","26503"
"2292812","26482"
"828361","26481"
"6760","26477"
"99594","26470"
"406435","26466"
"57757","26462"
"82118","26460"
"775184","26457"
"37815","26457"
"93252","26448"
"30018","26434"
"391161","26427"
"103043","26424"
"1141839","26422"
"406429","26413"
"2696260","26411"
"406857","26404"
